,광역시도,시도,입점수,ID
0,강원도,원주시,1,원주
1,경기,김포시,1,김포
2,경기,수원시,2,수원
3,경기,용인시,1,용인
4,경기,이천시,1,이천
5,경기,화성시,1,화성
6,경기도,고양시,7,고양
7,경기도,광명시,1,광명
8,경기도,구리시,1,구리
9,경기도,군포시,1,군포
10,경기도,김포시,1,김포
11,경기도,남양주시,1,남양주
12,경기도,부천시,4,부천
13,경기도,성남시,10,성남
14,경기도,수원시,6,수원
15,경기도,안양시,4,안양
16,경기도,용인시,1,용인
17,경기도,파주시,2,파주
18,경기도,평택시,1,평택
19,경기도,하남시,1,하남
20,경기도,화성시,4,화성
21,경남,창원시,2,창원
22,경상남도,진주시,1,진주
23,경상북도,경주시,1,경주
24,경상북도,포항시,1,포항
25,광주,서구,1,서
26,대구광역시,중구,1,대구 중구
27,대전광역시,서구,1,대전 서구
28,대전시,서구,1,서
29,부산,부산진구,1,부산진
30,부산,중구,1,중
31,부산,해운대구,1,해운대
32,부산광역시,기장군,1,부산 기장
33,부산광역시,부산진구,1,부산 부산진
34,부산광역시,수영구,1,부산 수영
35,부산광역시,중구,1,부산 중구
36,부산시,해운대구,1,해운대
37,서울,서초구,1,서초
38,서울,송파구,2,송파
39,서울시,강남구,4,강남
40,서울시,강동구,2,강동
41,서울시,강서구,1,강서
42,서울시,관악구,1,관악
43,서울시,노원구,1,노원
44,서울시,동대문구,2,동대문
45,서울시,마포구,5,마포
46,서울시,서대문구,1,서대문
47,서울시,서초구,4,서초
48,서울시,성북구,1,성북
49,서울시,송파구,4,송파
50,서울시,양천구,1,양천
51,서울시,영등포구,2,영등포
52,서울시,용산구,2,용산
53,서울시,은평구,1,은평
54,서울시,종로구,2,종로
55,서울시,중구,3,중
56,서울특별시,강남구,8,서울 강남
57,서울특별시,강동구,1,서울 강동
58,서울특별시,강북구,1,서울 강북
59,서울특별시,강서구,2,서울 강서
60,서울특별시,광진구,1,서울 광진
61,서울특별시,구로구,1,서울 구로
62,서울특별시,마포구,2,서울 마포
63,서울특별시,서초구,3,서울 서초
64,서울특별시,성북구,1,서울 성북
65,서울특별시,송파구,5,서울 송파
66,서울특별시,영등포구,1,서울 영등포
67,서울특별시,종로구,3,서울 종로
68,서울특별시,중랑구,1,서울 중랑
69,세종특별자치시,세종로,1,세종
70,울산광역시,남구,2,울산 남구
71,인천,연수구,1,연수
72,인천광역시,남동구,1,인천 남동
73,인천광역시,부평구,1,인천 부평
74,인천광역시,연수구,1,인천 연수
75,인천광역시,중구,3,인천 중구
76,인천시,중구,1,중
77,충남,천안시,1,천안
78,충북,청주시,2,청주
