,광역시도,시도,입점수
0,강원도,원주시,1
1,경기도,광명시,1
2,경기도,구리시,1
3,경기도,군포시,1
4,경기도,권선구,1
5,경기도,기흥구,1
6,경기도,김포시,2
7,경기도,남양주시,1
8,경기도,덕양구,1
9,경기도,동안구,3
10,경기도,만안구,1
11,경기도,분당구,9
12,경기도,소사구,1
13,경기도,수정구,1
14,경기도,수지구,1
15,경기도,영통구,2
16,경기도,원미구,3
17,경기도,이천시,1
18,경기도,일산동구,4
19,경기도,일산서구,2
20,경기도,장안구,2
21,경기도,파주시,2
22,경기도,팔달구,3
23,경기도,평택시,1
24,경기도,하남시,1
25,경기도,화성시,5
26,경상남도,성산구,1
27,경상남도,의창구,1
28,경상남도,진주시,1
29,경상북도,경주시,1
30,경상북도,북구,1
31,광주광역시,서구,1
32,대구광역시,중구,1
33,대전광역시,서구,2
34,부산광역시,기장군,1
35,부산광역시,부산진구,2
36,부산광역시,수영구,1
37,부산광역시,중구,2
38,부산광역시,해운대구,2
39,서울특별시,강남구,12
40,서울특별시,강동구,3
41,서울특별시,강북구,1
42,서울특별시,강서구,3
43,서울특별시,관악구,1
44,서울특별시,광진구,1
45,서울특별시,구로구,1
46,서울특별시,노원구,1
47,서울특별시,동대문구,2
48,서울특별시,마포구,7
49,서울특별시,서대문구,1
50,서울특별시,서초구,8
51,서울특별시,성북구,2
52,서울특별시,송파구,11
53,서울특별시,양천구,1
54,서울특별시,영등포구,3
55,서울특별시,용산구,2
56,서울특별시,은평구,1
57,서울특별시,종로구,5
58,서울특별시,중구,3
59,서울특별시,중랑구,1
60,세종특별자치시,세종특별자치시,1
61,울산광역시,남구,2
62,인천광역시,남동구,1
63,인천광역시,부평구,1
64,인천광역시,연수구,2
65,인천광역시,중구,4
66,충청남도,동남구,1
67,충청북도,상당구,1
68,충청북도,흥덕구,1
