,ID,CoffeeBean,Paikdabang,Starbucks
0,원주,1.0,25.0,6
1,광명,1.0,4.0,8
2,구리,1.0,9.0,3
3,군포,1.0,64.0,4
4,수원 권선,1.0,4.0,5
5,용인 기흥,1.0,81.0,10
6,김포,2.0,49.0,8
7,남양주,1.0,9.0,7
8,고양 덕양,1.0,25.0,10
9,안양 동안,3.0,81.0,10
10,안양 만안,1.0,16.0,3
11,성남 분당,9.0,144.0,36
12,부천 소사,1.0,56.0,1
13,성남 수정,1.0,9.0,2
14,용인 수지,1.0,16.0,11
15,수원 영통,2.0,25.0,11
16,부천 원미,3.0,84.0,12
17,이천,1.0,1.0,5
18,고양 일산동,4.0,4.0,13
19,고양 일산서,2.0,4.0,9
20,수원 장안,2.0,9.0,3
21,파주,2.0,36.0,5
22,수원 팔달,3.0,16.0,7
23,평택,1.0,16.0,5
24,하남,1.0,1.0,9
25,화성,5.0,144.0,11
26,창원 성산,1.0,1.0,6
27,창원 의창,1.0,4.0,4
28,진주,1.0,16.0,6
29,경주,1.0,4.0,7
30,포항 북구,1.0,4.0,4
31,광주 서구,1.0,9.0,14
32,대구 중구,1.0,16.0,9
33,대전 서구,2.0,100.0,21
34,부산 기장,1.0,1.0,3
35,부산 부산진,2.0,9.0,17
36,부산 수영,1.0,1.0,7
37,부산 중구,2.0,9.0,6
38,부산 해운대,2.0,16.0,27
39,서울 강남,12.0,256.0,76
40,서울 강동,3.0,25.0,13
41,서울 강북,1.0,1.0,5
42,서울 강서,3.0,64.0,14
43,서울 관악,1.0,25.0,10
44,서울 광진,1.0,25.0,14
45,서울 구로,1.0,25.0,10
46,서울 노원,1.0,25.0,12
47,서울 동대문,2.0,25.0,8
48,서울 마포,7.0,36.0,32
49,서울 서대문,1.0,16.0,21
50,서울 서초,8.0,81.0,45
51,서울 성북,2.0,36.0,11
52,서울 송파,11.0,121.0,29
53,서울 양천,1.0,16.0,14
54,서울 영등포,3.0,36.0,35
55,서울 용산,2.0,16.0,17
56,서울 은평,1.0,36.0,8
57,서울 종로,5.0,49.0,38
58,서울 중구,3.0,49.0,50
59,서울 중랑,1.0,4.0,6
60,세종,1.0,9.0,7
61,울산 남구,2.0,25.0,13
62,인천 남동,1.0,324.0,9
63,인천 부평,1.0,4.0,9
64,인천 연수,2.0,64.0,10
65,인천 중구,4.0,16.0,7
66,천안 동남,1.0,9.0,5
67,청주 상당,1.0,4.0,3
68,청주 흥덕,1.0,4.0,6
69,강릉,0.0,4.0,3
70,동해,0.0,1.0,1
71,춘천,0.0,16.0,5
72,홍천,0.0,1.0,3
73,광주,0.0,4.0,2
74,안산 단원,0.0,36.0,7
75,안산 상록,0.0,1.0,2
76,시흥,0.0,49.0,5
77,안성,0.0,1.0,2
78,양평,0.0,1.0,1
79,오산,0.0,9.0,3
80,의왕,0.0,4.0,1
81,의정부,0.0,16.0,10
82,성남 중원,0.0,9.0,2
83,용인 처인,0.0,4.0,3
84,포천,0.0,1.0,2
85,거제,0.0,4.0,4
86,김해,0.0,9.0,9
87,창원 합포,0.0,1.0,3
88,창원 회원,0.0,1.0,4
89,양산,0.0,1.0,7
90,통영,0.0,9.0,1
91,경산,0.0,9.0,6
92,구미,0.0,9.0,9
93,안동,0.0,4.0,2
94,광주 광산,0.0,4.0,11
95,광주 동구,0.0,16.0,7
96,광주 북구,0.0,4.0,10
97,대구 달서,0.0,36.0,18
98,대구 달성,0.0,4.0,2
99,대구 동구,0.0,4.0,8
100,대구 북구,0.0,25.0,7
101,대구 수성,0.0,1.0,18
102,대전 대덕,0.0,4.0,4
103,대전 동구,0.0,16.0,4
104,대전 유성,0.0,36.0,11
105,대전 중구,0.0,49.0,7
106,부산 금정,0.0,9.0,7
107,부산 남구,0.0,1.0,6
108,부산 동래,0.0,4.0,7
109,부산 북구,0.0,9.0,2
110,부산 사하,0.0,1.0,7
111,부산 연제,0.0,1.0,5
112,서울 금천,0.0,1.0,10
113,서울 동작,0.0,16.0,8
114,서울 성동,0.0,16.0,9
115,울산 동구,0.0,4.0,2
116,울산 북구,0.0,1.0,4
117,울산 울주,0.0,1.0,1
118,울산 중구,0.0,4.0,5
119,인천 계양,0.0,9.0,2
120,인천 서구,0.0,16.0,6
121,광양,0.0,1.0,1
122,목포,0.0,9.0,5
123,무안,0.0,1.0,1
124,순천,0.0,4.0,4
125,여수,0.0,9.0,5
126,전주 덕진,0.0,1.0,4
127,전주 완산,0.0,25.0,9
128,익산,0.0,4.0,3
129,정읍,0.0,1.0,1
130,서귀포,0.0,36.0,9
131,제주,0.0,25.0,8
132,공주,0.0,1.0,2
133,논산,0.0,1.0,1
134,당진,0.0,9.0,2
135,천안 서북,0.0,25.0,10
136,서산,0.0,1.0,2
137,아산,0.0,16.0,4
138,청주 서원,0.0,9.0,3
139,청주 청원,0.0,1.0,3
140,충주,0.0,1.0,4
141,고성(강원),0.0,0.0,1
142,속초,0.0,0.0,3
143,과천,0.0,0.0,3
144,동두천,0.0,0.0,2
145,양주,0.0,0.0,4
146,여주,0.0,0.0,3
147,사천,0.0,0.0,2
148,창원 진해,0.0,0.0,2
149,김천,0.0,0.0,2
150,포항 남구,0.0,0.0,7
151,문경,0.0,0.0,1
152,광주 남구,0.0,0.0,7
153,대구 서구,0.0,0.0,1
154,부산 강서,0.0,0.0,2
155,부산 동구,0.0,0.0,2
156,부산 사상,0.0,0.0,3
157,부산 서구,0.0,0.0,3
158,서울 도봉,0.0,0.0,2
159,인천 동구,0.0,0.0,1
160,인천 미추홀,0.0,0.0,4
161,나주,0.0,0.0,1
162,군산,0.0,0.0,2
163,계룡,0.0,0.0,1
164,제천,0.0,0.0,1
