,ID,CoffeeBean,Paikdabang,Starbucks,총매장수
0,원주,1.0,25.0,6,32.0
1,광명,1.0,4.0,8,13.0
2,구리,1.0,9.0,3,13.0
3,군포,1.0,64.0,4,69.0
4,수원 권선,1.0,4.0,5,10.0
5,용인 기흥,1.0,81.0,10,92.0
6,김포,2.0,49.0,8,59.0
7,남양주,1.0,9.0,7,17.0
8,고양 덕양,1.0,25.0,10,36.0
9,안양 동안,3.0,81.0,10,94.0
10,안양 만안,1.0,16.0,3,20.0
11,성남 분당,9.0,144.0,36,189.0
12,부천 소사,1.0,56.0,1,58.0
13,성남 수정,1.0,9.0,2,12.0
14,용인 수지,1.0,16.0,11,28.0
15,수원 영통,2.0,25.0,11,38.0
16,부천 원미,3.0,84.0,12,99.0
17,이천,1.0,1.0,5,7.0
18,고양 일산동,4.0,4.0,13,21.0
19,고양 일산서,2.0,4.0,9,15.0
20,수원 장안,2.0,9.0,3,14.0
21,파주,2.0,36.0,5,43.0
22,수원 팔달,3.0,16.0,7,26.0
23,평택,1.0,16.0,5,22.0
24,하남,1.0,1.0,9,11.0
25,화성,5.0,144.0,11,160.0
26,창원 성산,1.0,1.0,6,8.0
27,창원 의창,1.0,4.0,4,9.0
28,진주,1.0,16.0,6,23.0
29,경주,1.0,4.0,7,12.0
30,포항 북구,1.0,4.0,4,9.0
31,광주 서구,1.0,9.0,14,24.0
32,대구 중구,1.0,16.0,9,26.0
33,대전 서구,2.0,100.0,21,123.0
34,부산 기장,1.0,1.0,3,5.0
35,부산 부산진,2.0,9.0,17,28.0
36,부산 수영,1.0,1.0,7,9.0
37,부산 중구,2.0,9.0,6,17.0
38,부산 해운대,2.0,16.0,27,45.0
39,서울 강남,12.0,256.0,76,344.0
40,서울 강동,3.0,25.0,13,41.0
41,서울 강북,1.0,1.0,5,7.0
42,서울 강서,3.0,64.0,14,81.0
43,서울 관악,1.0,25.0,10,36.0
44,서울 광진,1.0,25.0,14,40.0
45,서울 구로,1.0,25.0,10,36.0
46,서울 노원,1.0,25.0,12,38.0
47,서울 동대문,2.0,25.0,8,35.0
48,서울 마포,7.0,36.0,32,75.0
49,서울 서대문,1.0,16.0,21,38.0
50,서울 서초,8.0,81.0,45,134.0
51,서울 성북,2.0,36.0,11,49.0
52,서울 송파,11.0,121.0,29,161.0
53,서울 양천,1.0,16.0,14,31.0
54,서울 영등포,3.0,36.0,35,74.0
55,서울 용산,2.0,16.0,17,35.0
56,서울 은평,1.0,36.0,8,45.0
57,서울 종로,5.0,49.0,38,92.0
58,서울 중구,3.0,49.0,50,102.0
59,서울 중랑,1.0,4.0,6,11.0
60,세종,1.0,9.0,7,17.0
61,울산 남구,2.0,25.0,13,40.0
62,인천 남동,1.0,324.0,9,334.0
63,인천 부평,1.0,4.0,9,14.0
64,인천 연수,2.0,64.0,10,76.0
65,인천 중구,4.0,16.0,7,27.0
66,천안 동남,1.0,9.0,5,15.0
67,청주 상당,1.0,4.0,3,8.0
68,청주 흥덕,1.0,4.0,6,11.0
69,강릉,0.0,4.0,3,7.0
70,동해,0.0,1.0,1,2.0
71,춘천,0.0,16.0,5,21.0
72,홍천,0.0,1.0,3,4.0
73,광주,0.0,4.0,2,6.0
74,안산 단원,0.0,36.0,7,43.0
75,안산 상록,0.0,1.0,2,3.0
76,시흥,0.0,49.0,5,54.0
77,안성,0.0,1.0,2,3.0
78,양평,0.0,1.0,1,2.0
79,오산,0.0,9.0,3,12.0
80,의왕,0.0,4.0,1,5.0
81,의정부,0.0,16.0,10,26.0
82,성남 중원,0.0,9.0,2,11.0
83,용인 처인,0.0,4.0,3,7.0
84,포천,0.0,1.0,2,3.0
85,거제,0.0,4.0,4,8.0
86,김해,0.0,9.0,9,18.0
87,창원 합포,0.0,1.0,3,4.0
88,창원 회원,0.0,1.0,4,5.0
89,양산,0.0,1.0,7,8.0
90,통영,0.0,9.0,1,10.0
91,경산,0.0,9.0,6,15.0
92,구미,0.0,9.0,9,18.0
93,안동,0.0,4.0,2,6.0
94,광주 광산,0.0,4.0,11,15.0
95,광주 동구,0.0,16.0,7,23.0
96,광주 북구,0.0,4.0,10,14.0
97,대구 달서,0.0,36.0,18,54.0
98,대구 달성,0.0,4.0,2,6.0
99,대구 동구,0.0,4.0,8,12.0
100,대구 북구,0.0,25.0,7,32.0
101,대구 수성,0.0,1.0,18,19.0
102,대전 대덕,0.0,4.0,4,8.0
103,대전 동구,0.0,16.0,4,20.0
104,대전 유성,0.0,36.0,11,47.0
105,대전 중구,0.0,49.0,7,56.0
106,부산 금정,0.0,9.0,7,16.0
107,부산 남구,0.0,1.0,6,7.0
108,부산 동래,0.0,4.0,7,11.0
109,부산 북구,0.0,9.0,2,11.0
110,부산 사하,0.0,1.0,7,8.0
111,부산 연제,0.0,1.0,5,6.0
112,서울 금천,0.0,1.0,10,11.0
113,서울 동작,0.0,16.0,8,24.0
114,서울 성동,0.0,16.0,9,25.0
115,울산 동구,0.0,4.0,2,6.0
116,울산 북구,0.0,1.0,4,5.0
117,울산 울주,0.0,1.0,1,2.0
118,울산 중구,0.0,4.0,5,9.0
119,인천 계양,0.0,9.0,2,11.0
120,인천 서구,0.0,16.0,6,22.0
121,광양,0.0,1.0,1,2.0
122,목포,0.0,9.0,5,14.0
123,무안,0.0,1.0,1,2.0
124,순천,0.0,4.0,4,8.0
125,여수,0.0,9.0,5,14.0
126,전주 덕진,0.0,1.0,4,5.0
127,전주 완산,0.0,25.0,9,34.0
128,익산,0.0,4.0,3,7.0
129,정읍,0.0,1.0,1,2.0
130,서귀포,0.0,36.0,9,45.0
131,제주,0.0,25.0,8,33.0
132,공주,0.0,1.0,2,3.0
133,논산,0.0,1.0,1,2.0
134,당진,0.0,9.0,2,11.0
135,천안 서북,0.0,25.0,10,35.0
136,서산,0.0,1.0,2,3.0
137,아산,0.0,16.0,4,20.0
138,청주 서원,0.0,9.0,3,12.0
139,청주 청원,0.0,1.0,3,4.0
140,충주,0.0,1.0,4,5.0
141,고성(강원),0.0,0.0,1,1.0
142,속초,0.0,0.0,3,3.0
143,과천,0.0,0.0,3,3.0
144,동두천,0.0,0.0,2,2.0
145,양주,0.0,0.0,4,4.0
146,여주,0.0,0.0,3,3.0
147,사천,0.0,0.0,2,2.0
148,창원 진해,0.0,0.0,2,2.0
149,김천,0.0,0.0,2,2.0
150,포항 남구,0.0,0.0,7,7.0
151,문경,0.0,0.0,1,1.0
152,광주 남구,0.0,0.0,7,7.0
153,대구 서구,0.0,0.0,1,1.0
154,부산 강서,0.0,0.0,2,2.0
155,부산 동구,0.0,0.0,2,2.0
156,부산 사상,0.0,0.0,3,3.0
157,부산 서구,0.0,0.0,3,3.0
158,서울 도봉,0.0,0.0,2,2.0
159,인천 동구,0.0,0.0,1,1.0
160,인천 미추홀,0.0,0.0,4,4.0
161,나주,0.0,0.0,1,1.0
162,군산,0.0,0.0,2,2.0
163,계룡,0.0,0.0,1,1.0
164,제천,0.0,0.0,1,1.0
