,ID,CoffeeBean,Paikdabang,Starbucks,총매장수,y,x
0,원주,1.0,25.0,6.0,32.0,5,10
1,광명,1.0,4.0,8.0,13.0,4,4
2,구리,1.0,9.0,3.0,13.0,3,8
3,군포,1.0,64.0,4.0,69.0,9,5
4,수원 권선,1.0,4.0,5.0,10.0,10,5
5,용인 기흥,1.0,81.0,10.0,92.0,9,8
6,김포,2.0,49.0,8.0,59.0,3,4
7,남양주,1.0,9.0,7.0,17.0,2,7
8,고양 덕양,1.0,25.0,10.0,36.0,2,3
9,안양 동안,3.0,81.0,10.0,94.0,5,3
10,안양 만안,1.0,16.0,3.0,20.0,4,3
11,성남 분당,9.0,144.0,36.0,189.0,8,7
12,부천 소사,1.0,56.0,1.0,58.0,4,2
13,성남 수정,1.0,9.0,2.0,12.0,8,8
14,용인 수지,1.0,16.0,11.0,28.0,8,9
15,수원 영통,2.0,25.0,11.0,38.0,9,7
16,부천 원미,3.0,84.0,12.0,99.0,5,2
17,이천,1.0,1.0,5.0,7.0,6,9
18,고양 일산동,4.0,4.0,13.0,21.0,2,4
19,고양 일산서,2.0,4.0,9.0,15.0,3,3
20,수원 장안,2.0,9.0,3.0,14.0,10,6
21,파주,2.0,36.0,5.0,43.0,3,2
22,수원 팔달,3.0,16.0,7.0,26.0,11,6
23,평택,1.0,16.0,5.0,22.0,11,4
24,하남,1.0,1.0,9.0,11.0,3,9
25,화성,5.0,144.0,11.0,160.0,9,3
26,창원 성산,1.0,1.0,6.0,8.0,20,7
27,창원 의창,1.0,4.0,4.0,9.0,20,6
28,진주,1.0,16.0,6.0,23.0,18,6
29,경주,1.0,4.0,7.0,12.0,12,12
30,포항 북구,1.0,4.0,4.0,9.0,10,12
31,광주 서구,1.0,9.0,14.0,24.0,22,2
32,대구 중구,1.0,16.0,9.0,26.0,14,9
33,대전 서구,2.0,100.0,21.0,123.0,16,4
34,부산 기장,1.0,1.0,3.0,5.0,16,12
35,부산 부산진,2.0,9.0,17.0,28.0,17,10
36,부산 수영,1.0,1.0,7.0,9.0,20,11
37,부산 중구,2.0,9.0,6.0,17.0,18,11
38,부산 해운대,2.0,16.0,27.0,45.0,17,12
39,서울 강남,12.0,256.0,76.0,344.0,8,6
40,서울 강동,3.0,25.0,13.0,41.0,5,8
41,서울 강북,1.0,1.0,5.0,7.0,3,5
42,서울 강서,3.0,64.0,14.0,81.0,6,4
43,서울 관악,1.0,25.0,10.0,36.0,7,5
44,서울 광진,1.0,25.0,14.0,40.0,6,7
45,서울 구로,1.0,25.0,10.0,36.0,9,4
46,서울 노원,1.0,25.0,12.0,38.0,2,6
47,서울 동대문,2.0,25.0,8.0,35.0,4,7
48,서울 마포,7.0,36.0,32.0,75.0,5,5
