,광역시도,시도,입점수
0,강원도,강릉시,12
1,강원도,고성군,2
2,강원도,동해시,3
3,강원도,삼척시,2
4,강원도,속초시,7
5,강원도,양구군,1
6,강원도,양양군,1
7,강원도,영월군,1
8,강원도,원주시,17
9,강원도,인제군,2
10,강원도,정선군,1
11,강원도,철원군,3
12,강원도,춘천시,25
13,강원도,평창군,2
14,강원도,홍천군,3
15,강원도,화천군,2
16,강원도,횡성군,1
17,경기도,가평군,6
18,경기도,과천시,2
19,경기도,광명시,10
20,경기도,광주시,10
21,경기도,구리시,15
22,경기도,군포시,10
23,경기도,권선구,17
24,경기도,기흥구,26
25,경기도,김포시,19
26,경기도,남양주시,39
27,경기도,단원구,21
28,경기도,덕양구,26
29,경기도,동두천시,2
30,경기도,동안구,16
31,경기도,만안구,12
32,경기도,분당구,29
33,경기도,상록구,13
34,경기도,소사구,13
35,경기도,수정구,11
36,경기도,수지구,18
37,경기도,시흥시,26
38,경기도,안성시,4
39,경기도,양주시,17
40,경기도,양평군,5
41,경기도,여주시,3
42,경기도,연천군,1
43,경기도,영통구,21
44,경기도,오산시,7
45,경기도,오정구,9
46,경기도,원미구,26
47,경기도,의왕시,6
48,경기도,의정부시,34
49,경기도,이천시,10
50,경기도,일산동구,17
51,경기도,일산서구,14
52,경기도,장안구,9
53,경기도,중원구,11
54,경기도,처인구,10
55,경기도,파주시,19
56,경기도,팔달구,11
57,경기도,평택시,15
58,경기도,포천시,9
59,경기도,하남시,19
60,경기도,화성시,35
61,경상남도,거제시,7
62,경상남도,거창군,1
63,경상남도,고성군,2
64,경상남도,김해시,31
65,경상남도,남해군,1
66,경상남도,마산합포구,6
67,경상남도,마산회원구,7
68,경상남도,밀양시,3
69,경상남도,사천시,4
70,경상남도,산청군,1
71,경상남도,성산구,11
72,경상남도,양산시,16
73,경상남도,의창구,12
74,경상남도,진주시,21
75,경상남도,진해구,6
76,경상남도,창녕군,2
77,경상남도,통영시,3
78,경상남도,함안군,1
79,경상남도,함양군,1
80,경상남도,합천군,2
81,경상북도,경산시,7
82,경상북도,경주시,22
83,경상북도,고령군,1
84,경상북도,구미시,11
85,경상북도,군위군,1
86,경상북도,김천시,3
87,경상북도,남구,5
88,경상북도,문경시,2
89,경상북도,봉화군,1
90,경상북도,북구,11
91,경상북도,상주시,2
92,경상북도,성주군,1
93,경상북도,안동시,6
94,경상북도,영덕군,2
95,경상북도,영주시,4
96,경상북도,영천시,2
97,경상북도,예천군,2
98,경상북도,울진군,2
99,경상북도,청도군,2
100,경상북도,청송군,1
101,경상북도,칠곡군,3
102,광주광역시,광산구,18
103,광주광역시,남구,5
104,광주광역시,동구,4
105,광주광역시,북구,11
106,광주광역시,서구,14
107,대구광역시,남구,4
108,대구광역시,달서구,9
109,대구광역시,달성군,7
110,대구광역시,동구,7
111,대구광역시,북구,8
112,대구광역시,수성구,8
113,대구광역시,중구,9
114,대전광역시,서구,1
115,부산광역시,강서구,9
116,부산광역시,금정구,16
117,부산광역시,기장군,9
118,부산광역시,남구,13
119,부산광역시,동구,8
120,부산광역시,동래구,22
121,부산광역시,부산진구,26
122,부산광역시,북구,13
123,부산광역시,사상구,14
124,부산광역시,사하구,16
125,부산광역시,서구,9
126,부산광역시,수영구,11
127,부산광역시,연제구,16
128,부산광역시,영도구,3
129,부산광역시,중구,9
130,부산광역시,해운대구,20
131,서울특별시,강남구,41
132,서울특별시,강동구,24
133,서울특별시,강북구,19
134,서울특별시,강서구,43
135,서울특별시,관악구,29
136,서울특별시,광진구,24
137,서울특별시,구로구,30
138,서울특별시,금천구,21
139,서울특별시,노원구,34
140,서울특별시,도봉구,19
141,서울특별시,동대문구,22
142,서울특별시,동작구,20
143,서울특별시,마포구,34
144,서울특별시,서대문구,19
145,서울특별시,서초구,28
146,서울특별시,성동구,24
147,서울특별시,성북구,28
148,서울특별시,송파구,42
149,서울특별시,양천구,23
150,서울특별시,영등포구,34
151,서울특별시,용산구,13
152,서울특별시,은평구,23
153,서울특별시,종로구,31
154,서울특별시,중구,30
155,서울특별시,중랑구,18
156,세종특별자치시,세종특별자치시,14
157,울산광역시,남구,27
158,울산광역시,동구,8
159,울산광역시,북구,18
160,울산광역시,울주군,11
161,울산광역시,중구,15
162,인천광역시,강화군,1
163,인천광역시,계양구,20
164,인천광역시,남구,19
165,인천광역시,남동구,33
166,인천광역시,동구,2
167,인천광역시,부평구,34
168,인천광역시,서구,34
169,인천광역시,연수구,19
170,인천광역시,중구,16
171,전라남도,강진군,1
172,전라남도,고흥군,2
173,전라남도,곡성군,1
174,전라남도,광양시,6
175,전라남도,나주시,1
176,전라남도,담양군,1
177,전라남도,목포시,11
178,전라남도,무안군,2
179,전라남도,순천시,14
180,전라남도,여수시,11
181,전라남도,영광군,1
182,전라남도,영암군,1
183,전라남도,완도군,1
184,전라남도,장성군,1
185,전라남도,장흥군,1
186,전라남도,진도군,1
187,전라남도,해남군,1
188,전라남도,화순군,1
189,전라북도,고창군,1
190,전라북도,군산시,11
191,전라북도,김제시,4
192,전라북도,남원시,2
193,전라북도,덕진구,19
194,전라북도,무주군,1
195,전라북도,부안군,3
196,전라북도,순창군,1
197,전라북도,완산구,27
198,전라북도,완주군,5
199,전라북도,익산시,11
200,전라북도,임실군,1
201,전라북도,장수군,1
202,전라북도,정읍시,4
203,전라북도,진안군,1
204,제주특별자치도,서귀포시,7
205,제주특별자치도,제주시,9
206,충청남도,공주시,4
207,충청남도,금산군,1
208,충청남도,논산시,3
209,충청남도,당진시,5
210,충청남도,동남구,11
211,충청남도,보령시,2
212,충청남도,부여군,1
213,충청남도,서북구,10
214,충청남도,서산시,9
215,충청남도,서천군,2
216,충청남도,아산시,9
217,충청남도,예산군,3
218,충청남도,태안군,2
219,충청남도,홍성군,2
220,충청북도,괴산군,1
221,충청북도,단양군,1
222,충청북도,보은군,1
223,충청북도,상당구,6
224,충청북도,서원구,11
225,충청북도,영동군,1
226,충청북도,옥천군,1
227,충청북도,음성군,4
228,충청북도,제천시,6
229,충청북도,증평군,2
230,충청북도,진천군,3
231,충청북도,청원구,11
232,충청북도,충주시,6
233,충청북도,흥덕구,11
