,광역시도,시도,입점수,ID,y,x
0,강원도,강릉시,12.0,강릉,3,11
1,강원도,고성군,2.0,고성(강원),0,10
2,강원도,동해시,3.0,동해,4,11
3,강원도,삼척시,2.0,삼척,5,11
4,강원도,속초시,7.0,속초,1,10
5,강원도,양구군,1.0,양구,0,9
6,강원도,양양군,1.0,양양,2,10
7,강원도,영월군,1.0,영월,7,10
8,강원도,원주시,17.0,원주,5,10
9,강원도,인제군,2.0,인제,1,8
10,강원도,정선군,1.0,정선,3,10
11,강원도,철원군,3.0,철원,0,7
12,강원도,춘천시,25.0,춘천,1,9
13,강원도,평창군,2.0,평창,6,10
14,강원도,홍천군,3.0,홍천,2,8
15,강원도,화천군,2.0,화천,0,8
16,강원도,횡성군,1.0,횡성,2,9
17,경기도,가평군,6.0,가평,3,7
18,경기도,과천시,2.0,과천,7,8
19,경기도,광명시,10.0,광명,4,4
20,경기도,광주시,10.0,광주,7,9
21,경기도,구리시,15.0,구리,3,8
22,경기도,군포시,10.0,군포,9,5
23,경기도,권선구,17.0,수원 권선,10,5
24,경기도,기흥구,26.0,용인 기흥,9,8
25,경기도,김포시,19.0,김포,3,4
26,경기도,남양주시,39.0,남양주,2,7
27,경기도,단원구,21.0,안산 단원,8,3
28,경기도,덕양구,26.0,고양 덕양,2,3
29,경기도,동두천시,2.0,동두천,1,4
30,경기도,동안구,16.0,안양 동안,5,3
31,경기도,만안구,12.0,안양 만안,4,3
32,경기도,분당구,29.0,성남 분당,8,7
33,경기도,상록구,13.0,안산 상록,7,3
34,경기도,소사구,13.0,부천 소사,4,2
35,경기도,수정구,11.0,성남 수정,8,8
36,경기도,수지구,18.0,용인 수지,8,9
37,경기도,시흥시,26.0,시흥,6,3
38,경기도,안성시,4.0,안성,10,4
39,경기도,양주시,17.0,양주,1,3
40,경기도,양평군,5.0,양평,4,9
41,경기도,여주시,3.0,여주,5,9
42,경기도,연천군,1.0,연천,1,5
43,경기도,영통구,21.0,수원 영통,9,7
44,경기도,오산시,7.0,오산,10,3
45,경기도,오정구,9.0,부천 오정,6,2
46,경기도,원미구,26.0,부천 원미,5,2
47,경기도,의왕시,6.0,의왕,9,6
48,경기도,의정부시,34.0,의정부,1,7
49,경기도,이천시,10.0,이천,6,9
50,경기도,일산동구,17.0,고양 일산동,2,4
51,경기도,일산서구,14.0,고양 일산서,3,3
52,경기도,장안구,9.0,수원 장안,10,6
53,경기도,중원구,11.0,성남 중원,7,7
54,경기도,처인구,10.0,용인 처인,9,9
55,경기도,파주시,19.0,파주,3,2
56,경기도,팔달구,11.0,수원 팔달,11,6
57,경기도,평택시,15.0,평택,11,4
58,경기도,포천시,9.0,포천,1,6
59,경기도,하남시,19.0,하남,3,9
60,경기도,화성시,35.0,화성,9,3
61,경상남도,거제시,7.0,거제,22,8
62,경상남도,거창군,1.0,거창,16,6
63,경상남도,고성군,2.0,고성(경남),22,7
64,경상남도,김해시,31.0,김해,20,9
65,경상남도,남해군,1.0,남해,22,6
66,경상남도,마산합포구,6.0,창원 합포,19,8
67,경상남도,마산회원구,7.0,창원 회원,21,7
68,경상남도,밀양시,3.0,밀양,17,8
69,경상남도,사천시,4.0,사천,21,6
70,경상남도,산청군,1.0,산청,19,5
71,경상남도,성산구,11.0,창원 성산,20,7
72,경상남도,양산시,16.0,양산,19,7
73,경상남도,의창구,12.0,창원 의창,20,6
74,경상남도,진주시,21.0,진주,18,6
75,경상남도,진해구,6.0,창원 진해,20,8
76,경상남도,창녕군,2.0,창녕,17,7
77,경상남도,통영시,3.0,통영,21,8
78,경상남도,함안군,1.0,함안,19,6
79,경상남도,함양군,1.0,함양,17,6
80,경상남도,합천군,2.0,합천,16,7
81,경상북도,경산시,7.0,경산,12,11
82,경상북도,경주시,22.0,경주,12,12
83,경상북도,고령군,1.0,고령,13,9
84,경상북도,구미시,11.0,구미,10,10
85,경상북도,군위군,1.0,군위,11,10
86,경상북도,김천시,3.0,김천,11,9
87,경상북도,남구,5.0,포항 남구,11,12
88,경상북도,문경시,2.0,문경,8,10
89,경상북도,봉화군,1.0,봉화,8,11
90,경상북도,북구,11.0,포항 북구,10,12
91,경상북도,상주시,2.0,상주,11,8
92,경상북도,성주군,1.0,성주,13,11
93,경상북도,안동시,6.0,안동,9,10
94,경상북도,영덕군,2.0,영덕,7,11
95,경상북도,영주시,4.0,영주,10,9
96,경상북도,영천시,2.0,영천,12,10
97,경상북도,예천군,2.0,예천,10,8
98,경상북도,울진군,2.0,울진,6,11
99,경상북도,청도군,2.0,청도,13,10
100,경상북도,청송군,1.0,청송,10,11
101,경상북도,칠곡군,3.0,칠곡,12,9
102,광주광역시,광산구,18.0,광주 광산,21,2
103,광주광역시,남구,5.0,광주 남구,23,2
104,광주광역시,동구,4.0,광주 동구,23,3
105,광주광역시,북구,11.0,광주 북구,22,3
106,광주광역시,서구,14.0,광주 서구,22,2
107,대구광역시,남구,4.0,대구 남구,15,9
108,대구광역시,달서구,9.0,대구 달서,16,8
109,대구광역시,달성군,7.0,대구 달성,16,9
110,대구광역시,동구,7.0,대구 동구,15,10
111,대구광역시,북구,8.0,대구 북구,14,8
112,대구광역시,수성구,8.0,대구 수성,14,10
113,대구광역시,중구,9.0,대구 중구,14,9
114,대전광역시,서구,1.0,대전 서구,16,4
115,부산광역시,강서구,9.0,부산 강서,18,8
116,부산광역시,금정구,16.0,부산 금정,16,10
117,부산광역시,기장군,9.0,부산 기장,16,12
118,부산광역시,남구,13.0,부산 남구,19,11
119,부산광역시,동구,8.0,부산 동구,18,10
120,부산광역시,동래구,22.0,부산 동래,16,11
121,부산광역시,부산진구,26.0,부산 부산진,17,10
122,부산광역시,북구,13.0,부산 북구,17,9
123,부산광역시,사상구,14.0,부산 사상,18,9
124,부산광역시,사하구,16.0,부산 사하,19,10
125,부산광역시,서구,9.0,부산 서구,19,9
126,부산광역시,수영구,11.0,부산 수영,20,11
127,부산광역시,연제구,16.0,부산 연제,17,11
128,부산광역시,영도구,3.0,부산 영도,20,10
129,부산광역시,중구,9.0,부산 중구,18,11
130,부산광역시,해운대구,20.0,부산 해운대,17,12
131,서울특별시,강남구,41.0,서울 강남,8,6
132,서울특별시,강동구,24.0,서울 강동,5,8
133,서울특별시,강북구,19.0,서울 강북,3,5
134,서울특별시,강서구,43.0,서울 강서,6,4
135,서울특별시,관악구,29.0,서울 관악,7,5
136,서울특별시,광진구,24.0,서울 광진,6,7
137,서울특별시,구로구,30.0,서울 구로,9,4
138,서울특별시,금천구,21.0,서울 금천,8,5
139,서울특별시,노원구,34.0,서울 노원,2,6
140,서울특별시,도봉구,19.0,서울 도봉,2,5
141,서울특별시,동대문구,22.0,서울 동대문,4,7
142,서울특별시,동작구,20.0,서울 동작,6,5
143,서울특별시,마포구,34.0,서울 마포,5,5
144,서울특별시,서대문구,19.0,서울 서대문,4,5
145,서울특별시,서초구,28.0,서울 서초,7,6
146,서울특별시,성동구,24.0,서울 성동,5,7
147,서울특별시,성북구,28.0,서울 성북,3,6
148,서울특별시,송파구,42.0,서울 송파,6,8
149,서울특별시,양천구,23.0,서울 양천,7,4
150,서울특별시,영등포구,34.0,서울 영등포,8,4
151,서울특별시,용산구,13.0,서울 용산,6,6
152,서울특별시,은평구,23.0,서울 은평,5,4
153,서울특별시,종로구,31.0,서울 종로,4,6
154,서울특별시,중구,30.0,서울 중구,5,6
155,서울특별시,중랑구,18.0,서울 중랑,4,8
156,세종특별자치시,세종특별자치시,14.0,세종,13,4
157,울산광역시,남구,27.0,울산 남구,15,12
158,울산광역시,동구,8.0,울산 동구,14,12
159,울산광역시,북구,18.0,울산 북구,13,12
160,울산광역시,울주군,11.0,울산 울주,14,11
161,울산광역시,중구,15.0,울산 중구,15,11
162,인천광역시,강화군,1.0,인천 강화,5,1
163,인천광역시,계양구,20.0,인천 계양,7,2
164,인천광역시,남구,19.0,인천 남구,9,2
165,인천광역시,남동구,33.0,인천 남동,10,2
166,인천광역시,동구,2.0,인천 동구,7,1
167,인천광역시,부평구,34.0,인천 부평,8,2
168,인천광역시,서구,34.0,인천 서구,6,1
169,인천광역시,연수구,19.0,인천 연수,10,1
170,인천광역시,중구,16.0,인천 중구,9,1
171,전라남도,강진군,1.0,강진,24,1
172,전라남도,고흥군,2.0,고흥,22,5
173,전라남도,곡성군,1.0,곡성,21,3
174,전라남도,광양시,6.0,광양,21,5
175,전라남도,나주시,1.0,나주,22,1
176,전라남도,담양군,1.0,담양,20,2
177,전라남도,목포시,11.0,목포,22,0
178,전라남도,무안군,2.0,무안,21,1
179,전라남도,순천시,14.0,순천,22,4
180,전라남도,여수시,11.0,여수,23,4
181,전라남도,영광군,1.0,영광,19,1
182,전라남도,영암군,1.0,영암,23,1
183,전라남도,완도군,1.0,완도,25,2
184,전라남도,장성군,1.0,장성,19,2
185,전라남도,장흥군,1.0,장흥,24,2
186,전라남도,진도군,1.0,진도,24,0
187,전라남도,해남군,1.0,해남,23,0
188,전라남도,화순군,1.0,화순,21,4
189,전라북도,고창군,1.0,고창,18,1
190,전라북도,군산시,11.0,군산,16,2
191,전라북도,김제시,4.0,김제,17,3
192,전라북도,남원시,2.0,남원,18,5
193,전라북도,덕진구,19.0,전주 덕진,18,3
194,전라북도,무주군,1.0,무주,16,5
195,전라북도,부안군,3.0,부안,17,2
196,전라북도,순창군,1.0,순창,20,3
197,전라북도,완산구,27.0,전주 완산,19,3
198,전라북도,완주군,5.0,완주,17,4
199,전라북도,익산시,11.0,익산,16,3
200,전라북도,임실군,1.0,임실,19,4
201,전라북도,장수군,1.0,장수,17,5
202,전라북도,정읍시,4.0,정읍,18,2
203,전라북도,진안군,1.0,진안,18,4
204,제주특별자치도,서귀포시,7.0,서귀포,26,5
205,제주특별자치도,제주시,9.0,제주,25,5
206,충청남도,공주시,4.0,공주,12,4
207,충청남도,금산군,1.0,금산,15,3
208,충청남도,논산시,3.0,논산,14,3
209,충청남도,당진시,5.0,당진,12,1
210,충청남도,동남구,11.0,천안 동남,11,2
211,충청남도,보령시,2.0,보령,13,2
212,충청남도,부여군,1.0,부여,14,2
213,충청남도,서북구,10.0,천안 서북,11,3
214,충청남도,서산시,9.0,서산,13,1
215,충청남도,서천군,2.0,서천,15,2
216,충청남도,아산시,9.0,아산,11,1
217,충청남도,예산군,3.0,예산,12,3
218,충청남도,태안군,2.0,태안,11,0
219,충청남도,홍성군,2.0,홍성,12,2
220,충청북도,괴산군,1.0,괴산,12,8
221,충청북도,단양군,1.0,단양,11,7
222,충청북도,보은군,1.0,보은,13,8
223,충청북도,상당구,6.0,청주 상당,14,6
224,충청북도,서원구,11.0,청주 서원,14,7
225,충청북도,영동군,1.0,영동,15,7
226,충청북도,옥천군,1.0,옥천,15,6
227,충청북도,음성군,4.0,음성,11,5
228,충청북도,제천시,6.0,제천,10,7
229,충청북도,증평군,2.0,증평,13,6
230,충청북도,진천군,3.0,진천,12,5
231,충청북도,청원구,11.0,청주 청원,13,7
232,충청북도,충주시,6.0,충주,12,6
233,충청북도,흥덕구,11.0,청주 흥덕,12,7
234,0,0,0.0,태백,4,10
235,0,0,0.0,울릉,8,13
236,0,0,0.0,영양,9,11
237,0,0,0.0,인천 옹진,10,0
238,0,0,0.0,의성,11,11
239,0,0,0.0,청양,13,3
240,0,0,0.0,대전 대덕,13,5
241,0,0,0.0,계룡,14,4
242,0,0,0.0,대전 동구,14,5
243,0,0,0.0,대전 유성,15,4
244,0,0,0.0,대전 중구,15,5
245,0,0,0.0,대구 서구,15,8
246,0,0,0.0,의령,18,7
247,0,0,0.0,함평,20,1
248,0,0,0.0,구례,20,4
249,0,0,0.0,하동,20,5
250,0,0,0.0,신안,21,0
251,0,0,0.0,보성,24,3
