,광역시도,시도,입점수,ID
0,강원도,강릉시,12,강릉
1,강원도,고성군,2,고성(강원)
2,강원도,동해시,3,동해
3,강원도,삼척시,2,삼척
4,강원도,속초시,7,속초
5,강원도,양구군,1,양구
6,강원도,양양군,1,양양
7,강원도,영월군,1,영월
8,강원도,원주시,17,원주
9,강원도,인제군,2,인제
10,강원도,정선군,1,정선
11,강원도,철원군,3,철원
12,강원도,춘천시,25,춘천
13,강원도,평창군,2,평창
14,강원도,홍천군,3,홍천
15,강원도,화천군,2,화천
16,강원도,횡성군,1,횡성
17,경기도,가평군,6,가평
18,경기도,과천시,2,과천
19,경기도,광명시,10,광명
20,경기도,광주시,10,광주
21,경기도,구리시,15,구리
22,경기도,군포시,10,군포
23,경기도,권선구,17,수원 권선
24,경기도,기흥구,26,용인 기흥
25,경기도,김포시,19,김포
26,경기도,남양주시,39,남양주
27,경기도,단원구,21,안산 단원
28,경기도,덕양구,26,고양 덕양
29,경기도,동두천시,2,동두천
30,경기도,동안구,16,안양 동안
31,경기도,만안구,12,안양 만안
32,경기도,분당구,29,성남 분당
33,경기도,상록구,13,안산 상록
34,경기도,소사구,13,부천 소사
35,경기도,수정구,11,성남 수정
36,경기도,수지구,18,용인 수지
37,경기도,시흥시,26,시흥
38,경기도,안성시,4,안성
39,경기도,양주시,17,양주
40,경기도,양평군,5,양평
41,경기도,여주시,3,여주
42,경기도,연천군,1,연천
43,경기도,영통구,21,수원 영통
44,경기도,오산시,7,오산
45,경기도,오정구,9,부천 오정
46,경기도,원미구,26,부천 원미
47,경기도,의왕시,6,의왕
48,경기도,의정부시,34,의정부
49,경기도,이천시,10,이천
50,경기도,일산동구,17,고양 일산동
51,경기도,일산서구,14,고양 일산서
52,경기도,장안구,9,수원 장안
53,경기도,중원구,11,성남 중원
54,경기도,처인구,10,용인 처인
55,경기도,파주시,19,파주
56,경기도,팔달구,11,수원 팔달
57,경기도,평택시,15,평택
58,경기도,포천시,9,포천
59,경기도,하남시,19,하남
60,경기도,화성시,35,화성
61,경상남도,거제시,7,거제
62,경상남도,거창군,1,거창
63,경상남도,고성군,2,고성(경남)
64,경상남도,김해시,31,김해
65,경상남도,남해군,1,남해
66,경상남도,마산합포구,6,창원 합포
67,경상남도,마산회원구,7,창원 회원
68,경상남도,밀양시,3,밀양
69,경상남도,사천시,4,사천
70,경상남도,산청군,1,산청
71,경상남도,성산구,11,창원 성산
72,경상남도,양산시,16,양산
73,경상남도,의창구,12,창원 의창
74,경상남도,진주시,21,진주
75,경상남도,진해구,6,창원 진해
76,경상남도,창녕군,2,창녕
77,경상남도,통영시,3,통영
78,경상남도,함안군,1,함안
79,경상남도,함양군,1,함양
80,경상남도,합천군,2,합천
81,경상북도,경산시,7,경산
82,경상북도,경주시,22,경주
83,경상북도,고령군,1,고령
84,경상북도,구미시,11,구미
85,경상북도,군위군,1,군위
86,경상북도,김천시,3,김천
87,경상북도,남구,5,포항 남구
88,경상북도,문경시,2,문경
89,경상북도,봉화군,1,봉화
90,경상북도,북구,11,포항 북구
