,Name,Address,입점수,광역시도,시도
0,빽다방,경기도 부천시,14,경기도,원미구
1,빽다방,경기도 부천시,14,경기도,원미구
2,빽다방,경기도 안양시 동안구,9,경기도,동안구
3,빽다방,경기도 성남시 중원구,3,경기도,중원구
4,빽다방,경기도 김포시,7,경기도,김포시
5,빽다방,경기도 부천시,14,경기도,원미구
6,빽다방,강원도 원주시,5,강원도,원주시
7,빽다방,경기도 화성시,12,경기도,화성시
8,빽다방,경기도 부천시,14,경기도,원미구
9,빽다방,경기도 구리시,3,경기도,구리시
10,빽다방,경기도 화성시,12,경기도,화성시
11,빽다방,경기도 수원시 장안구,3,경기도,장안구
12,빽다방,경기도 포천시,1,경기도,포천시
13,빽다방,경기도 이천시,1,경기도,이천시
14,빽다방,경기도 부천시,14,경기도,원미구
15,빽다방,경기도 성남시 분당구,12,경기도,분당구
16,빽다방,경기도 시흥시,7,경기도,시흥시
17,빽다방,경기도 화성시,12,경기도,화성시
18,빽다방,경기도 성남시 분당구,12,경기도,분당구
19,빽다방,경기도 안양시 동안구,9,경기도,동안구
20,빽다방,경기도 안양시 만안구,4,경기도,만안구
21,빽다방,경기도 평택시,4,경기도,평택시
22,빽다방,경기도 파주시,6,경기도,파주시
23,빽다방,경기도 안성시,1,경기도,안성시
24,빽다방,강원도 원주시,5,강원도,원주시
25,빽다방,경기도 안양시 동안구,9,경기도,동안구
26,빽다방,경기도 남양주시,3,경기도,남양주시
27,빽다방,경기도 오산시,3,경기도,오산시
28,빽다방,충청북도 청주시 상당구,2,충청북도,상당구
29,빽다방,경기도 의정부시,4,경기도,의정부시
30,빽다방,경기도 안산시 단원구,6,경기도,단원구
31,빽다방,경기도 부천시,14,경기도,원미구
32,빽다방,경기도 부천시,14,경기도,소사구
33,빽다방,경기도 안양시 동안구,9,경기도,동안구
34,빽다방,경기도 부천시,14,경기도,소사구
35,빽다방,경기도 하남시,1,경기도,하남시
36,빽다방,경기도 성남시 분당구,12,경기도,분당구
37,빽다방,경기도 용인시 기흥구,9,경기도,기흥구
38,빽다방,강원도 춘천시,4,강원도,춘천시
39,빽다방,경기도 김포시,7,경기도,김포시
40,빽다방,경기도 안산시 단원구,6,경기도,단원구
41,빽다방,경기도 안산시 단원구,6,경기도,단원구
42,빽다방,경기도 고양시 덕양구,5,경기도,덕양구
43,빽다방,강원도 강릉시,2,강원도,강릉시
44,빽다방,경기도 파주시,6,경기도,파주시
45,빽다방,경기도 용인시 수지구,4,경기도,수지구
46,빽다방,경기도 수원시 영통구,5,경기도,영통구
47,빽다방,경기도 시흥시,7,경기도,시흥시
48,빽다방,경기도 고양시 일산서구,2,경기도,일산서구
49,빽다방,경기도 수원시 영통구,5,경기도,영통구
50,빽다방,경기도 고양시 일산동구,2,경기도,일산동구
51,빽다방,경기도 용인시 기흥구,9,경기도,기흥구
52,빽다방,경기도 의정부시,4,경기도,의정부시
53,빽다방,경기도 구리시,3,경기도,구리시
54,빽다방,강원도 삼척시,2,강원도,삼척시
55,빽다방,경기도 남양주시,3,경기도,남양주시
56,빽다방,경기도 부천시,14,경기도,소사구
57,빽다방,경기도 안산시 단원구,6,경기도,단원구
58,빽다방,경기도 군포시,8,경기도,군포시
59,빽다방,경기도 성남시 중원구,3,경기도,중원구
60,빽다방,경기도 김포시,7,경기도,김포시
61,빽다방,경기도 성남시 중원구,3,경기도,중원구
62,빽다방,경기도 성남시 분당구,12,경기도,분당구
63,빽다방,경기도 부천시,14,경기도,소사구
64,빽다방,경기도 안양시 동안구,9,경기도,동안구
65,빽다방,경기도 김포시,7,경기도,김포시
66,빽다방,경기도 부천시,14,경기도,오정구
67,빽다방,경기도 안양시 동안구,9,경기도,동안구
68,빽다방,경기도 고양시 일산동구,2,경기도,일산동구
69,빽다방,경기도 부천시,14,경기도,오정구
70,빽다방,경기도 안산시 상록구,1,경기도,상록구
71,빽다방,강원도 원주시,5,강원도,원주시
72,빽다방,강원도 춘천시,4,강원도,춘천시
73,빽다방,경기도 시흥시,7,경기도,시흥시
74,빽다방,경기도 오산시,3,경기도,오산시
75,빽다방,경기도 안양시 만안구,4,경기도,만안구
76,빽다방,경기도 고양시 덕양구,5,경기도,덕양구
77,빽다방,경기도 안양시 동안구,9,경기도,동안구
78,빽다방,경기도 안산시 단원구,6,경기도,단원구
79,빽다방,경기도 성남시 수정구,3,경기도,수정구
80,빽다방,경기도 성남시 분당구,12,경기도,분당구
81,빽다방,강원도 원주시,5,강원도,원주시
82,빽다방,경기도 부천시,14,경기도,오정구
83,빽다방,경기도 안양시 동안구,9,경기도,동안구
84,빽다방,경기도 군포시,8,경기도,군포시
85,빽다방,경기도 광명시,2,경기도,광명시
86,빽다방,경기도 수원시 팔달구,4,경기도,팔달구
87,빽다방,강원도 삼척시,2,강원도,삼척시
88,빽다방,충청북도 청주시 서원구,3,충청북도,서원구
89,빽다방,경기도 광주시,2,경기도,광주시
90,빽다방,경기도 평택시,4,경기도,평택시
91,빽다방,경기도 수원시 영통구,5,경기도,영통구
92,빽다방,충청북도 청주시 상당구,2,충청북도,상당구
93,빽다방,경기도 용인시 수지구,4,경기도,수지구
94,빽다방,강원도 춘천시,4,강원도,춘천시
95,빽다방,충청북도 청주시 청원구,1,충청북도,청원구
