,상호명,광역시도,시도,주소,입점수
0,빽다방,경기도,부천시,경기도 부천시,14
1,빽다방,경기도,부천시,경기도 부천시,14
2,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
3,빽다방,경기도,성남시 중원구,경기도 성남시 중원구,3
4,빽다방,경기도,김포시,경기도 김포시,7
5,빽다방,경기도,부천시,경기도 부천시,14
6,빽다방,강원도,원주시,강원도 원주시,5
7,빽다방,경기도,화성시,경기도 화성시,12
8,빽다방,경기도,부천시,경기도 부천시,14
9,빽다방,경기도,구리시,경기도 구리시,3
10,빽다방,경기도,화성시,경기도 화성시,12
11,빽다방,경기도,수원시 장안구,경기도 수원시 장안구,3
12,빽다방,경기도,포천시,경기도 포천시,1
13,빽다방,경기도,이천시,경기도 이천시,1
14,빽다방,경기도,부천시,경기도 부천시,14
15,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
16,빽다방,경기도,시흥시,경기도 시흥시,7
17,빽다방,경기도,화성시,경기도 화성시,12
18,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
19,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
20,빽다방,경기도,안양시 만안구,경기도 안양시 만안구,4
21,빽다방,경기도,평택시,경기도 평택시,4
22,빽다방,경기도,파주시,경기도 파주시,6
23,빽다방,경기도,안성시,경기도 안성시,1
24,빽다방,강원도,원주시,강원도 원주시,5
25,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
26,빽다방,경기도,남양주시,경기도 남양주시,3
27,빽다방,경기도,오산시,경기도 오산시,3
28,빽다방,충청북도,청주시 상당구,충청북도 청주시 상당구,2
29,빽다방,경기도,의정부시,경기도 의정부시,4
30,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
31,빽다방,경기도,부천시,경기도 부천시,14
32,빽다방,경기도,부천시,경기도 부천시,14
33,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
34,빽다방,경기도,부천시,경기도 부천시,14
35,빽다방,경기도,하남시,경기도 하남시,1
36,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
37,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
38,빽다방,강원도,춘천시,강원도 춘천시,4
39,빽다방,경기도,김포시,경기도 김포시,7
40,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
41,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
42,빽다방,경기도,고양시 덕양구,경기도 고양시 덕양구,5
43,빽다방,강원도,강릉시,강원도 강릉시,2
44,빽다방,경기도,파주시,경기도 파주시,6
45,빽다방,경기도,용인시 수지구,경기도 용인시 수지구,4
46,빽다방,경기도,수원시 영통구,경기도 수원시 영통구,5
47,빽다방,경기도,시흥시,경기도 시흥시,7
48,빽다방,경기도,고양시 일산서구,경기도 고양시 일산서구,2
49,빽다방,경기도,수원시 영통구,경기도 수원시 영통구,5
50,빽다방,경기도,고양시 일산동구,경기도 고양시 일산동구,2
51,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
52,빽다방,경기도,의정부시,경기도 의정부시,4
53,빽다방,경기도,구리시,경기도 구리시,3
54,빽다방,강원도,삼척시,강원도 삼척시,2
55,빽다방,경기도,남양주시,경기도 남양주시,3
56,빽다방,경기도,부천시,경기도 부천시,14
57,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
58,빽다방,경기도,군포시,경기도 군포시,8
59,빽다방,경기도,성남시 중원구,경기도 성남시 중원구,3
60,빽다방,경기도,김포시,경기도 김포시,7
61,빽다방,경기도,성남시 중원구,경기도 성남시 중원구,3
62,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
63,빽다방,경기도,부천시,경기도 부천시,14
64,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
65,빽다방,경기도,김포시,경기도 김포시,7
66,빽다방,경기도,부천시,경기도 부천시,14
67,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
68,빽다방,경기도,고양시 일산동구,경기도 고양시 일산동구,2
69,빽다방,경기도,부천시,경기도 부천시,14
70,빽다방,경기도,안산시 상록구,경기도 안산시 상록구,1
71,빽다방,강원도,원주시,강원도 원주시,5
72,빽다방,강원도,춘천시,강원도 춘천시,4
73,빽다방,경기도,시흥시,경기도 시흥시,7
74,빽다방,경기도,오산시,경기도 오산시,3
75,빽다방,경기도,안양시 만안구,경기도 안양시 만안구,4
76,빽다방,경기도,고양시 덕양구,경기도 고양시 덕양구,5
77,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
78,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
79,빽다방,경기도,성남시 수정구,경기도 성남시 수정구,3
80,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
81,빽다방,강원도,원주시,강원도 원주시,5
82,빽다방,경기도,부천시,경기도 부천시,14
83,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
84,빽다방,경기도,군포시,경기도 군포시,8
85,빽다방,경기도,광명시,경기도 광명시,2
86,빽다방,경기도,수원시 팔달구,경기도 수원시 팔달구,4
87,빽다방,강원도,삼척시,강원도 삼척시,2
88,빽다방,충청북도,청주시 서원구,충청북도 청주시 서원구,3
89,빽다방,경기도,광주시,경기도 광주시,2
90,빽다방,경기도,평택시,경기도 평택시,4
91,빽다방,경기도,수원시 영통구,경기도 수원시 영통구,5
92,빽다방,충청북도,청주시 상당구,충청북도 청주시 상당구,2
93,빽다방,경기도,용인시 수지구,경기도 용인시 수지구,4
94,빽다방,강원도,춘천시,강원도 춘천시,4
95,빽다방,충청북도,청주시 청원구,충청북도 청주시 청원구,1
96,빽다방,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,2
97,빽다방,경기도,화성시,경기도 화성시,12
98,빽다방,경기도,군포시,경기도 군포시,8
99,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
100,빽다방,경기도,광명시,경기도 광명시,2
101,빽다방,경기도,수원시 장안구,경기도 수원시 장안구,3
102,빽다방,경기도,수원시 영통구,경기도 수원시 영통구,5
103,빽다방,경기도,용인시 처인구,경기도 용인시 처인구,2
104,빽다방,강원도,동해시,강원도 동해시,1
105,빽다방,경기도,수원시 장안구,경기도 수원시 장안구,3
106,빽다방,경기도,수원시 팔달구,경기도 수원시 팔달구,4
107,빽다방,경기도,시흥시,경기도 시흥시,7
108,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
109,빽다방,경기도,화성시,경기도 화성시,12
110,빽다방,경기도,광주시,경기도 광주시,2
111,빽다방,경기도,화성시,경기도 화성시,12
112,빽다방,경기도,용인시 수지구,경기도 용인시 수지구,4
113,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
114,빽다방,경기도,의정부시,경기도 의정부시,4
115,빽다방,경기도,구리시,경기도 구리시,3
116,빽다방,경기도,시흥시,경기도 시흥시,7
117,빽다방,경기도,파주시,경기도 파주시,6
118,빽다방,경기도,시흥시,경기도 시흥시,7
