,광역시도,시도,입점수
0,강원도,강릉시,4
1,강원도,동해시,1
2,강원도,삼척시,4
3,강원도,원주시,25
4,강원도,춘천시,16
5,강원도,홍천군,1
6,경기도,고양시 덕양구,25
7,경기도,고양시 일산동구,4
8,경기도,고양시 일산서구,4
9,경기도,광명시,4
10,경기도,광주시,4
11,경기도,구리시,9
12,경기도,군포시,64
13,경기도,김포시,49
14,경기도,남양주시,9
15,경기도,부천시,196
16,경기도,성남시 분당구,144
17,경기도,성남시 수정구,9
18,경기도,성남시 중원구,9
19,경기도,수원시 권선구,4
20,경기도,수원시 영통구,25
21,경기도,수원시 장안구,9
22,경기도,수원시 팔달구,16
23,경기도,시흥시,49
24,경기도,안산시 단원구,36
25,경기도,안산시 상록구,1
26,경기도,안성시,1
27,경기도,안양시 동안구,81
28,경기도,안양시 만안구,16
29,경기도,양평군,1
30,경기도,오산시,9
31,경기도,용인시 기흥구,81
32,경기도,용인시 수지구,16
33,경기도,용인시 처인구,4
34,경기도,의왕시,4
35,경기도,의정부시,16
36,경기도,이천시,1
37,경기도,파주시,36
38,경기도,평택시,16
39,경기도,포천시,1
40,경기도,하남시,1
41,경기도,화성시,144
42,경상남도,거제시,4
43,경상남도,거창군,1
44,경상남도,고성군,4
45,경상남도,김해시,9
46,경상남도,양산시,1
47,경상남도,진주시,16
48,경상남도,창원시 마산합포구,1
49,경상남도,창원시 마산회원구,1
50,경상남도,창원시 성산구,1
51,경상남도,창원시 의창구,4
52,경상남도,통영시,9
53,경상북도,경산시,9
54,경상북도,경주시,4
55,경상북도,구미시,9
56,경상북도,안동시,4
57,경상북도,예천군,1
58,경상북도,울진군,1
59,경상북도,포항시 북구,4
60,광주광역시,광산구,4
61,광주광역시,동구,16
62,광주광역시,북구,4
63,광주광역시,서구,9
64,대구광역시,달서구,36
65,대구광역시,달성군,4
66,대구광역시,동구,4
67,대구광역시,북구,25
68,대구광역시,수성구,1
69,대구광역시,중구,16
70,대전광역시,대덕구,4
71,대전광역시,동구,16
72,대전광역시,서구,100
73,대전광역시,유성구,36
74,대전광역시,중구,49
75,부산광역시,금정구,9
76,부산광역시,기장군,1
77,부산광역시,남구,1
78,부산광역시,동래구,4
79,부산광역시,부산진구,9
80,부산광역시,북구,9
81,부산광역시,사하구,1
82,부산광역시,수영구,1
83,부산광역시,연제구,1
84,부산광역시,중구,9
85,부산광역시,해운대구,16
86,서울특별시,강남구,256
87,서울특별시,강동구,25
88,서울특별시,강북구,1
89,서울특별시,강서구,64
90,서울특별시,관악구,25
91,서울특별시,광진구,25
92,서울특별시,구로구,25
93,서울특별시,금천구,1
94,서울특별시,노원구,25
95,서울특별시,동대문구,25
96,서울특별시,동작구,16
97,서울특별시,마포구,36
98,서울특별시,서대문구,16
99,서울특별시,서초구,81
100,서울특별시,성동구,16
101,서울특별시,성북구,36
102,서울특별시,송파구,121
103,서울특별시,양천구,16
104,서울특별시,영등포구,36
105,서울특별시,용산구,16
106,서울특별시,은평구,36
107,서울특별시,종로구,49
108,서울특별시,중구,49
109,서울특별시,중랑구,4
110,세종특별자치시,세종특별자치시,9
111,울산광역시,남구,25
112,울산광역시,동구,4
113,울산광역시,북구,1
114,울산광역시,울주군,1
115,울산광역시,중구,4
116,인천광역시,강화군,1
117,인천광역시,계양구,9
118,인천광역시,남구,25
119,인천광역시,남동구,324
120,인천광역시,부평구,4
121,인천광역시,서구,16
122,인천광역시,연수구,64
123,인천광역시,중구,16
124,전라남도,광양시,1
125,전라남도,목포시,9
126,전라남도,무안군,1
127,전라남도,순천시,4
128,전라남도,여수시,9
129,전라북도,익산시,4
130,전라북도,전주시 덕진구,1
131,전라북도,전주시 완산구,25
132,전라북도,정읍시,1
133,제주특별자치도,서귀포시,36
134,제주특별자치도,제주시,25
135,충청남도,공주시,1
136,충청남도,논산시,1
137,충청남도,당진시,9
138,충청남도,보령시,1
139,충청남도,서산시,1
140,충청남도,아산시,16
141,충청남도,천안시 동남구,9
142,충청남도,천안시 서북구,25
143,충청남도,홍성군,4
144,충청북도,청주시 상당구,4
145,충청북도,청주시 서원구,9
146,충청북도,청주시 청원구,1
147,충청북도,청주시 흥덕구,4
148,충청북도,충주시,1
