,Unnamed: 0,광역시도,시도,입점수,ID,y,x
0,0.0,강원도,강릉시,4.0,강릉,3,11
1,1.0,강원도,동해시,1.0,동해,4,11
2,2.0,강원도,삼척시,4.0,삼척,5,11
3,3.0,강원도,원주시,25.0,원주,5,10
4,4.0,강원도,춘천시,16.0,춘천,1,9
5,5.0,강원도,홍천군,1.0,홍천,2,8
6,6.0,경기도,광명시,4.0,광명,4,4
7,7.0,경기도,광주시,4.0,광주,7,9
8,8.0,경기도,구리시,9.0,구리,3,8
9,9.0,경기도,군포시,64.0,군포,9,5
10,10.0,경기도,권선구,4.0,수원 권선,10,5
11,11.0,경기도,기흥구,81.0,용인 기흥,9,8
12,12.0,경기도,김포시,49.0,김포,3,4
13,13.0,경기도,남양주시,9.0,남양주,2,7
14,14.0,경기도,단원구,36.0,안산 단원,8,3
15,15.0,경기도,덕양구,25.0,고양 덕양,2,3
16,16.0,경기도,동안구,81.0,안양 동안,5,3
17,17.0,경기도,만안구,16.0,안양 만안,4,3
18,18.0,경기도,분당구,144.0,성남 분당,8,7
19,19.0,경기도,상록구,1.0,안산 상록,7,3
20,20.0,경기도,소사구,56.0,부천 소사,4,2
21,21.0,경기도,수정구,9.0,성남 수정,8,8
22,22.0,경기도,수지구,16.0,용인 수지,8,9
23,23.0,경기도,시흥시,49.0,시흥,6,3
24,24.0,경기도,안성시,1.0,안성,10,4
25,25.0,경기도,양평군,1.0,양평,4,9
26,26.0,경기도,영통구,25.0,수원 영통,9,7
27,27.0,경기도,오산시,9.0,오산,10,3
28,28.0,경기도,오정구,56.0,부천 오정,6,2
29,29.0,경기도,원미구,84.0,부천 원미,5,2
30,30.0,경기도,의왕시,4.0,의왕,9,6
31,31.0,경기도,의정부시,16.0,의정부,1,7
32,32.0,경기도,이천시,1.0,이천,6,9
33,33.0,경기도,일산동구,4.0,고양 일산동,2,4
34,34.0,경기도,일산서구,4.0,고양 일산서,3,3
35,35.0,경기도,장안구,9.0,수원 장안,10,6
36,36.0,경기도,중원구,9.0,성남 중원,7,7
37,37.0,경기도,처인구,4.0,용인 처인,9,9
38,38.0,경기도,파주시,36.0,파주,3,2
39,39.0,경기도,팔달구,16.0,수원 팔달,11,6
40,40.0,경기도,평택시,16.0,평택,11,4
41,41.0,경기도,포천시,1.0,포천,1,6
42,42.0,경기도,하남시,1.0,하남,3,9
43,43.0,경기도,화성시,144.0,화성,9,3
44,44.0,경상남도,거제시,4.0,거제,22,8
45,45.0,경상남도,거창군,1.0,거창,16,6
46,46.0,경상남도,고성군,4.0,고성(경남),22,7
47,47.0,경상남도,김해시,9.0,김해,20,9
48,48.0,경상남도,마산합포구,1.0,창원 합포,19,8
49,49.0,경상남도,마산회원구,1.0,창원 회원,21,7
50,50.0,경상남도,성산구,1.0,창원 성산,20,7
51,51.0,경상남도,양산시,1.0,양산,19,7
52,52.0,경상남도,의창구,4.0,창원 의창,20,6
53,53.0,경상남도,진주시,16.0,진주,18,6
54,54.0,경상남도,통영시,9.0,통영,21,8
55,55.0,경상북도,경산시,9.0,경산,12,11
56,56.0,경상북도,경주시,4.0,경주,12,12
57,57.0,경상북도,구미시,9.0,구미,10,10
58,58.0,경상북도,북구,4.0,포항 북구,10,12
59,59.0,경상북도,안동시,4.0,안동,9,10
60,60.0,경상북도,예천군,1.0,예천,10,8
61,61.0,경상북도,울진군,1.0,울진,6,11
62,62.0,광주광역시,광산구,4.0,광주 광산,21,2
63,63.0,광주광역시,동구,16.0,광주 동구,23,3
64,64.0,광주광역시,북구,4.0,광주 북구,22,3
65,65.0,광주광역시,서구,9.0,광주 서구,22,2
66,66.0,대구광역시,달서구,36.0,대구 달서,16,8
67,67.0,대구광역시,달성군,4.0,대구 달성,16,9
68,68.0,대구광역시,동구,4.0,대구 동구,15,10
69,69.0,대구광역시,북구,25.0,대구 북구,14,8
70,70.0,대구광역시,수성구,1.0,대구 수성,14,10
71,71.0,대구광역시,중구,16.0,대구 중구,14,9
72,72.0,대전광역시,대덕구,4.0,대전 대덕,13,5
73,73.0,대전광역시,동구,16.0,대전 동구,14,5
74,74.0,대전광역시,서구,100.0,대전 서구,16,4
75,75.0,대전광역시,유성구,36.0,대전 유성,15,4
76,76.0,대전광역시,중구,49.0,대전 중구,15,5
77,77.0,부산광역시,금정구,9.0,부산 금정,16,10
78,78.0,부산광역시,기장군,1.0,부산 기장,16,12
79,79.0,부산광역시,남구,1.0,부산 남구,19,11
80,80.0,부산광역시,동래구,4.0,부산 동래,16,11
81,81.0,부산광역시,부산진구,9.0,부산 부산진,17,10
82,82.0,부산광역시,북구,9.0,부산 북구,17,9
83,83.0,부산광역시,사하구,1.0,부산 사하,19,10
84,84.0,부산광역시,수영구,1.0,부산 수영,20,11
85,85.0,부산광역시,연제구,1.0,부산 연제,17,11
86,86.0,부산광역시,중구,9.0,부산 중구,18,11
87,87.0,부산광역시,해운대구,16.0,부산 해운대,17,12
88,88.0,서울특별시,강남구,256.0,서울 강남,8,6
89,89.0,서울특별시,강동구,25.0,서울 강동,5,8
90,90.0,서울특별시,강북구,1.0,서울 강북,3,5
91,91.0,서울특별시,강서구,64.0,서울 강서,6,4
92,92.0,서울특별시,관악구,25.0,서울 관악,7,5
93,93.0,서울특별시,광진구,25.0,서울 광진,6,7
94,94.0,서울특별시,구로구,25.0,서울 구로,9,4
95,95.0,서울특별시,금천구,1.0,서울 금천,8,5
96,96.0,서울특별시,노원구,25.0,서울 노원,2,6
97,97.0,서울특별시,동대문구,25.0,서울 동대문,4,7
98,98.0,서울특별시,동작구,16.0,서울 동작,6,5
99,99.0,서울특별시,마포구,36.0,서울 마포,5,5
100,100.0,서울특별시,서대문구,16.0,서울 서대문,4,5
101,101.0,서울특별시,서초구,81.0,서울 서초,7,6
102,102.0,서울특별시,성동구,16.0,서울 성동,5,7
103,103.0,서울특별시,성북구,36.0,서울 성북,3,6
104,104.0,서울특별시,송파구,121.0,서울 송파,6,8
105,105.0,서울특별시,양천구,16.0,서울 양천,7,4
106,106.0,서울특별시,영등포구,36.0,서울 영등포,8,4
107,107.0,서울특별시,용산구,16.0,서울 용산,6,6
108,108.0,서울특별시,은평구,36.0,서울 은평,5,4
109,109.0,서울특별시,종로구,49.0,서울 종로,4,6
110,110.0,서울특별시,중구,49.0,서울 중구,5,6
111,111.0,서울특별시,중랑구,4.0,서울 중랑,4,8
112,112.0,세종특별자치시,세종특별자치시,9.0,세종,13,4
113,113.0,울산광역시,남구,25.0,울산 남구,15,12
114,114.0,울산광역시,동구,4.0,울산 동구,14,12
115,115.0,울산광역시,북구,1.0,울산 북구,13,12
116,116.0,울산광역시,울주군,1.0,울산 울주,14,11
