,광역시도,시도,입점수
0,강원도,강릉시,3
1,강원도,고성군,1
2,강원도,동해시,1
3,강원도,속초시,3
4,강원도,원주시,6
5,강원도,춘천시,5
6,강원도,홍천군,3
7,경기도,고양시,32
8,경기도,과천시,3
9,경기도,광명시,8
10,경기도,광주시,2
11,경기도,구리시,3
12,경기도,군포시,4
13,경기도,김포시,8
14,경기도,남양주시,7
15,경기도,동두천시,2
16,경기도,부천시,13
17,경기도,성남시,40
18,경기도,수원시,26
19,경기도,시흥시,5
20,경기도,안산시,9
21,경기도,안성시,2
22,경기도,안양시,13
23,경기도,양주시,4
24,경기도,양평군,1
25,경기도,여주시,3
26,경기도,오산시,3
27,경기도,용인시,24
28,경기도,의왕시,1
29,경기도,의정부시,10
30,경기도,이천시,5
31,경기도,파주시,5
32,경기도,평택시,5
33,경기도,포천시,2
34,경기도,하남시,9
35,경기도,화성시,11
36,경상남도,거제시,4
37,경상남도,김해시,9
38,경상남도,사천시,2
39,경상남도,양산시,7
40,경상남도,진주시,6
41,경상남도,창원시,19
42,경상남도,통영시,1
43,경상북도,경산시,6
44,경상북도,경주시,7
45,경상북도,구미시,9
46,경상북도,김천시,2
47,경상북도,문경시,1
48,경상북도,안동시,2
49,경상북도,포항시,11
50,광주광역시,광산구,11
51,광주광역시,남구,7
52,광주광역시,동구,7
53,광주광역시,북구,10
54,광주광역시,서구,14
55,대구광역시,달서구,18
56,대구광역시,달성군,2
57,대구광역시,동구,8
58,대구광역시,북구,7
59,대구광역시,서구,1
60,대구광역시,수성구,18
61,대구광역시,중구,9
62,대전광역시,대덕구,4
63,대전광역시,동구,4
64,대전광역시,서구,21
65,대전광역시,유성구,11
66,대전광역시,중구,7
67,부산광역시,강서구,2
68,부산광역시,금정구,7
69,부산광역시,기장군,3
70,부산광역시,남구,6
71,부산광역시,동구,2
72,부산광역시,동래구,7
73,부산광역시,부산진구,17
74,부산광역시,북구,2
75,부산광역시,사상구,3
76,부산광역시,사하구,7
77,부산광역시,서구,3
78,부산광역시,수영구,7
79,부산광역시,연제구,5
80,부산광역시,중구,6
81,부산광역시,해운대구,27
82,서울특별시,강남구,76
83,서울특별시,강동구,13
84,서울특별시,강북구,5
85,서울특별시,강서구,14
86,서울특별시,관악구,10
87,서울특별시,광진구,14
88,서울특별시,구로구,10
89,서울특별시,금천구,10
90,서울특별시,노원구,12
91,서울특별시,도봉구,2
92,서울특별시,동대문구,8
93,서울특별시,동작구,8
94,서울특별시,마포구,32
95,서울특별시,서대문구,21
96,서울특별시,서초구,45
97,서울특별시,성동구,9
98,서울특별시,성북구,11
99,서울특별시,송파구,29
100,서울특별시,양천구,14
101,서울특별시,영등포구,35
102,서울특별시,용산구,17
103,서울특별시,은평구,8
104,서울특별시,종로구,38
105,서울특별시,중구,50
106,서울특별시,중랑구,6
107,울산광역시,남구,13
108,울산광역시,동구,2
109,울산광역시,북구,4
110,울산광역시,울주군,1
111,울산광역시,중구,5
112,인천광역시,계양구,2
113,인천광역시,남동구,9
114,인천광역시,동구,1
115,인천광역시,미추홀구,4
116,인천광역시,부평구,9
117,인천광역시,서구,6
118,인천광역시,연수구,10
119,인천광역시,중구,7
120,전라남도,광양시,1
121,전라남도,나주시,1
122,전라남도,목포시,5
123,전라남도,무안군,1
124,전라남도,순천시,4
125,전라남도,여수시,5
126,전라북도,군산시,2
127,전라북도,익산시,3
128,전라북도,전주시,13
129,전라북도,정읍시,1
130,제주특별자치도,서귀포시,9
131,제주특별자치도,제주시,8
132,충청남도,계룡시,1
133,충청남도,공주시,2
134,충청남도,논산시,1
135,충청남도,당진시,2
136,충청남도,서산시,2
137,충청남도,아산시,4
138,충청남도,천안시,15
139,충청북도,제천시,1
140,충청북도,청주시,15
141,충청북도,충주시,4
