,광역시도,시도,입점수,ID,y,x
0,강원도,강릉시,3.0,강릉,3,11
1,강원도,고성군,1.0,고성(강원),0,10
2,강원도,동해시,1.0,동해,4,11
3,강원도,속초시,3.0,속초,1,10
4,강원도,원주시,6.0,원주,5,10
5,강원도,춘천시,5.0,춘천,1,9
6,강원도,홍천군,3.0,홍천,2,8
7,경기도,과천시,3.0,과천,7,8
8,경기도,광명시,8.0,광명,4,4
9,경기도,광주시,2.0,광주,7,9
10,경기도,구리시,3.0,구리,3,8
11,경기도,군포시,4.0,군포,9,5
12,경기도,권선구,5.0,수원 권선,10,5
13,경기도,기흥구,10.0,용인 기흥,9,8
14,경기도,김포시,8.0,김포,3,4
15,경기도,남양주시,7.0,남양주,2,7
16,경기도,단원구,7.0,안산 단원,8,3
17,경기도,덕양구,10.0,고양 덕양,2,3
18,경기도,동두천시,2.0,동두천,1,4
19,경기도,동안구,10.0,안양 동안,5,3
20,경기도,만안구,3.0,안양 만안,4,3
21,경기도,분당구,36.0,성남 분당,8,7
22,경기도,상록구,2.0,안산 상록,7,3
23,경기도,소사구,1.0,부천 소사,4,2
24,경기도,수정구,2.0,성남 수정,8,8
25,경기도,수지구,11.0,용인 수지,8,9
26,경기도,시흥시,5.0,시흥,6,3
27,경기도,안성시,2.0,안성,10,4
28,경기도,양주시,4.0,양주,1,3
29,경기도,양평군,1.0,양평,4,9
30,경기도,여주시,3.0,여주,5,9
31,경기도,영통구,11.0,수원 영통,9,7
32,경기도,오산시,3.0,오산,10,3
33,경기도,원미구,12.0,부천 원미,5,2
34,경기도,의왕시,1.0,의왕,9,6
35,경기도,의정부시,10.0,의정부,1,7
36,경기도,이천시,5.0,이천,6,9
37,경기도,일산동구,13.0,고양 일산동,2,4
38,경기도,일산서구,9.0,고양 일산서,3,3
39,경기도,장안구,3.0,수원 장안,10,6
40,경기도,중원구,2.0,성남 중원,7,7
41,경기도,처인구,3.0,용인 처인,9,9
42,경기도,파주시,5.0,파주,3,2
43,경기도,팔달구,7.0,수원 팔달,11,6
44,경기도,평택시,5.0,평택,11,4
45,경기도,포천시,2.0,포천,1,6
46,경기도,하남시,9.0,하남,3,9
47,경기도,화성시,11.0,화성,9,3
48,경상남도,거제시,4.0,거제,22,8
49,경상남도,김해시,9.0,김해,20,9
50,경상남도,마산합포구,3.0,창원 합포,19,8
51,경상남도,마산회원구,4.0,창원 회원,21,7
52,경상남도,사천시,2.0,사천,21,6
53,경상남도,성산구,6.0,창원 성산,20,7
54,경상남도,양산시,7.0,양산,19,7
55,경상남도,의창구,4.0,창원 의창,20,6
56,경상남도,진주시,6.0,진주,18,6
57,경상남도,진해구,2.0,창원 진해,20,8
58,경상남도,통영시,1.0,통영,21,8
59,경상북도,경산시,6.0,경산,12,11
60,경상북도,경주시,7.0,경주,12,12
61,경상북도,구미시,9.0,구미,10,10
62,경상북도,김천시,2.0,김천,11,9
63,경상북도,남구,7.0,포항 남구,11,12
64,경상북도,문경시,1.0,문경,8,10
65,경상북도,북구,4.0,포항 북구,10,12
66,경상북도,안동시,2.0,안동,9,10
67,광주광역시,광산구,11.0,광주 광산,21,2
68,광주광역시,남구,7.0,광주 남구,23,2
69,광주광역시,동구,7.0,광주 동구,23,3
70,광주광역시,북구,10.0,광주 북구,22,3
71,광주광역시,서구,14.0,광주 서구,22,2
72,대구광역시,달서구,18.0,대구 달서,16,8
73,대구광역시,달성군,2.0,대구 달성,16,9
74,대구광역시,동구,8.0,대구 동구,15,10
75,대구광역시,북구,7.0,대구 북구,14,8
76,대구광역시,서구,1.0,대구 서구,15,8
77,대구광역시,수성구,18.0,대구 수성,14,10
78,대구광역시,중구,9.0,대구 중구,14,9
79,대전광역시,대덕구,4.0,대전 대덕,13,5
80,대전광역시,동구,4.0,대전 동구,14,5
81,대전광역시,서구,21.0,대전 서구,16,4
82,대전광역시,유성구,11.0,대전 유성,15,4
83,대전광역시,중구,7.0,대전 중구,15,5
84,부산광역시,강서구,2.0,부산 강서,18,8
85,부산광역시,금정구,7.0,부산 금정,16,10
86,부산광역시,기장군,3.0,부산 기장,16,12
87,부산광역시,남구,6.0,부산 남구,19,11
88,부산광역시,동구,2.0,부산 동구,18,10
89,부산광역시,동래구,7.0,부산 동래,16,11
90,부산광역시,부산진구,17.0,부산 부산진,17,10
91,부산광역시,북구,2.0,부산 북구,17,9
92,부산광역시,사상구,3.0,부산 사상,18,9
